Tỉnh/Thành phố,2019,2020,2021,2022,2023
CẢ NƯỚC,2.17,2.48,3.2,2.34,2.28
Đồng bằng sông Hồng,1.82,2.05,2.18,1.93,1.86
Hà Nội,1.78,2.11,2.68,2.22,2.01
Vĩnh Phúc,1.79,2.09,1.48,1.46,1.72
Bắc Ninh,2.48,2.19,2.7,2.55,2.68
Quảng Ninh,2.73,3.22,2.23,2.21,2.22
Hải Dương,1.99,1.7,1.18,1.5,1.33
Hải Phòng,2.06,2.37,2.41,2.36,2.35
Hưng Yên,2.08,2.67,2.05,1.86,1.89
Thái Bình,1.32,1.24,1.72,1.13,0.99
Hà Nam,1.83,1.76,1.91,0.91,1.34
Nam Định,1.31,1.68,1.71,1.65,1.57
Ninh Bình,0.52,1.36,1.34,1.32,1.28
Trung du và miền núi phía Bắc,1.29,1.06,2.42,2.1,1.91
Hà Giang,0.93,1.03,4.36,4.25,3.14
Cao Bằng,0.79,0.96,4.29,3.73,3.13
Bắc Kạn,1.07,0.88,3.86,3.16,3.42
Tuyên Quang,1.44,1.4,3.64,3.56,3.64
Lào Cai,1.81,1.62,1.94,1.47,1.49
Yên Bái,1.66,0.73,3.02,2.89,2.71
Thái Nguyên,1.61,1.7,1.57,1.47,1.78
Lạng Sơn,2.82,1.84,7.82,6.34,4.28
Bắc Giang,1.37,0.79,1.64,0.79,0.85
Phú Thọ,1.46,1.47,0.93,1.12,1.29
Điện Biên,0.47,0.45,0.51,0.39,0.31
Lai Châu,0.54,0.42,2.28,1.23,1.21
Sơn La,0.74,0.67,1.03,2.38,2.11
Hòa Bình,0.65,0.44,2.96,1.21,1.09
Bắc Trung Bộ và duyên hải miền Trung,2.47,3.16,3.3,2.59,2.37
Thanh Hóa,1.4,1.87,1.15,1.12,1.19
Nghệ An,1.3,1.26,2.11,1.77,2.03
Hà Tĩnh,3.36,3.18,5.38,5.43,5.51
Quảng Bình,1.34,3.49,3.6,3.35,3.16
Quảng Trị,3.16,3.93,3.83,2.77,2.76
Thừa Thiên - Huế,4.21,4.29,3.6,3.55,2.51
Đà Nẵng,3.55,9.41,8.06,2.42,1.98
Quảng Nam,3.2,4.09,4.21,4.05,4.04
Quảng Ngãi,2.3,3.19,2.28,1.82,2.09
Bình Định,3.42,2.85,2.75,2.54,1.99
Phú Yên,2.17,2.76,3.29,2.95,2.57
Khánh Hòa,3.49,4.7,5.72,3.37,2.44
Ninh Thuận,2.93,3.32,3.43,1.99,2.4
Bình Thuận,2.94,2.86,3.5,3.5,2.35
Tây Nguyên,1.37,1.66,0.96,0.67,0.7
Kon Tum,1.16,1.05,0.51,0.67,0.65
Gia Lai,1.08,1.76,0.7,0.52,0.5
Đắk Lắk,2.12,2.2,1.05,0.81,0.98
Đắk Nông,1.14,1.79,0.66,0.64,0.75
Lâm Đồng,0.84,0.98,1.49,0.65,0.53
Đông Nam Bộ,2.45,3.23,4.66,2.88,2.91
Bình Phước,2.73,2.93,3.01,2.05,2.79
Tây Ninh,1.54,1.72,2.66,1.69,1.55
Bình Dương,2.67,3.31,2.2,1.31,1.42
Đồng Nai,1.62,1.86,2.22,1.81,2.66
Bà Rịa - Vũng Tàu,2.08,3.56,9.18,2.81,2.89
TP. Hồ Chí Minh,2.82,3.91,6.4,4.19,3.8
Đồng bằng sông Cửu Long,2.9,2.82,4.05,2.76,2.82
Long An,5.34,2.15,2.28,1.89,1.89
Tiền Giang,1.8,3.14,7.32,2.03,2.35
Bến Tre,1.88,2.16,2.09,2.0,1.83
Trà Vinh,2.88,2.22,4.01,2.66,2.62
Vĩnh Long,2.63,2.67,3.32,2.88,2.85
Đồng Tháp,1.28,2.79,5.44,4.94,4.95
An Giang,3.18,2.53,4.52,3.32,3.27
Kiên Giang,3.56,4.35,4.52,2.82,2.97
Cần Thơ,3.18,3.6,3.96,3.72,3.78
Hậu Giang,3.11,3.05,5.43,1.69,2.01
Sóc Trăng,2.91,2.1,3.13,3.37,3.39
Bạc Liêu,3.74,3.48,2.35,2.12,2.05
Cà Mau,2.1,2.27,2.52,1.47,1.91
