Date,Inflation Rate
Dec 2014,1.84%
Jan 2015,0.94%
Feb 2015,0.34%
Mar 2015,0.93%
Apr 2015,0.99%
May 2015,0.95%
Jun 2015,1%
Jul 2015,0.9%
Aug 2015,0.61%
Sep 2015,0%
Oct 2015,0%
Nov 2015,0.34%
Dec 2015,0.6%
Jan 2016,0.8%
Feb 2016,1.27%
Mar 2016,1.69%
Apr 2016,1.89%
May 2016,2.28%
Jun 2016,2.4%
Jul 2016,2.39%
Aug 2016,2.57%
Sep 2016,3.34%
Oct 2016,4.09%
Nov 2016,4.52%
Dec 2016,4.74%
Jan 2017,5.22%
Feb 2017,5.02%
Mar 2017,4.65%
Apr 2017,4.3%
May 2017,3.19%
Jun 2017,2.54%
Jul 2017,2.52%
Aug 2017,3.35%
Sep 2017,3.4%
Oct 2017,2.98%
Nov 2017,2.62%
Dec 2017,2.6%
Jan 2018,2.65%
Feb 2018,3.15%
Mar 2018,2.66%
Apr 2018,2.75%
May 2018,3.86%
Jun 2018,4.67%
Jul 2018,4.46%
Aug 2018,3.98%
Sep 2018,3.98%
Oct 2018,3.89%
Nov 2018,3.46%
Dec 2018,2.98%
Jan 2019,2.56%
Feb 2019,2.64%
Mar 2019,2.7%
Apr 2019,2.93%
May 2019,2.88%
Jun 2019,2.16%
Jul 2019,2.44%
Aug 2019,2.26%
Sep 2019,1.98%
Oct 2019,2.24%
Nov 2019,3.52%
Dec 2019,5.23%
Jan 2020,6.43%
Feb 2020,5.4%
Mar 2020,4.9%
Apr 2020,2.93%
May 2020,2.4%
Jun 2020,3.17%
Jul 2020,3.39%
Aug 2020,3.18%
Sep 2020,2.98%
Oct 2020,2.47%
Nov 2020,1.48%
Dec 2020,0.19%
Jan 2021,-0.97%
Feb 2021,0.7%
Mar 2021,1.16%
Apr 2021,2.7%
May 2021,2.9%
Jun 2021,2.4%
Jul 2021,2.64%
Aug 2021,2.82%
Sep 2021,2.06%
Oct 2021,1.77%
Nov 2021,2.1%
Dec 2021,1.81%
Jan 2022,1.94%
Feb 2022,1.42%
Mar 2022,2.41%
Apr 2022,2.64%
May 2022,2.86%
Jun 2022,3.37%
Jul 2022,3.14%
Aug 2022,2.89%
Sep 2022,3.94%
Oct 2022,4.3%
Nov 2022,4.37%
Dec 2022,4.55%
Jan 2023,4.89%
Feb 2023,4.31%
Mar 2023,3.35%
Apr 2023,2.81%
May 2023,2.43%
Jun 2023,2%
Jul 2023,2.06%
Aug 2023,2.96%
Sep 2023,3.66%
Oct 2023,3.59%
Nov 2023,3.45%
Dec 2023,3.58%
Jan 2024,3.37%
Feb 2024,3.98%
Mar 2024,3.97%
Apr 2024,4.4%
May 2024,4.44%
Jun 2024,4.34%
Jul 2024,4.36%
Aug 2024,3.45%
Sep 2024,2.63%
Oct 2024,2.89%
Nov 2024,2.77%
