Năm,Tháng,Chỉ tiêu,Ước tính mỗi tháng,Tổng lượt khách cả năm,So với tháng trước (%),So sánh tháng này ở năm trước(%),So sánh tổng lượt khách với cùng kỳ năm trước (%),,
2019,t1,Tổng số,1.374.235,1.501.766,"109,3","105,0",,,
2019,t2,Tổng số,1.588.161,3.089.927,"105,8","110,9","108,0",,
2019,t3,Tổng số,1.410.187,4.500.114,"88,8","105,0","107,0",,
2019,t4,Tổng số,1.468.766,5.968.880,"104,2","109,5","107,6",,
2019,t5,Tổng số,1.326.668,7.295.548,"90,3","114,3","108,8",,
2019,t6,Tổng số,1.185.445,8.480.993,"89,4","100,2","107,5",,
2019,t7,Tổng số,1.315.792,9.796.785,"111,0","110,7","107,9",,
2019,t8,Tổng số,1.512.447,11.309.232,"114,9","114,3","108,7",,
2019,t9,Tổng số,1.561.274,12.870.506,"103,2","128,8","110,8",,
2019,t10,Tổng số,1.618.337,14.488.843,"103,7","134,3","113,0",,
2019,t11,Tổng số,1.809.580,16.298.423,"111,8","139,0","115,4",,
2019,t12,Tổng số,1.710.168,18.008.591,"94,5","124,4","116,2",,
2020,t1,Tổng số,1.710.168,1.994.125,"116,6","132,8",,,
2020,t2,Tổng số,1.242.731,3.236.856,"62,3","78,2","104,8",,
2020,t3,Tổng số,449.923,3.686.779,"36,2","31,9","81,9",,
2020,t4,Tổng số,0,3.686.779,"0,0","0,0","61,8",,
2020,t5,Tổng số,0,3.686.779,,"0,0","50,5",,
2020,t6,Tổng số,0,3.686.779,,"0,0","43,5",,
2020,t7,Tổng số,0,3.686.779,,"0,0","37,6",,
2020,t8,Tổng số,0,3.686.779,,"0,0","32,6",,
2020,t9,Tổng số,0,3.686.779,,"0,0","28,6",,
2020,t10,Tổng số,0,3.686.779,,"0,0","25,4",,
2020,t11,Tổng số,0,3.686.779,,"0,0","22,6",,
2020,t12,Tổng số,0,3.686.779,,"0,0","20,5",,
2021,t1,Tổng số,,0,,"0,0",,,
2021,t2,Tổng số,0,0,,"0,0","0,0",,
2021,t3,Tổng số,0,0,,"0,0","0,0",,
2021,t4,Tổng số,0,0,,,"0,0",,
2021,t5,Tổng số,0,0,,,"0,0",,
2021,t6,Tổng số,0,0,,,"0,0",,
2021,t7,Tổng số,0,0,,,"0,0",,
2021,t8,Tổng số,0,0,,,"0,0",,
2021,t9,Tổng số,0,0,,,"0,0",,
2021,t10,Tổng số,0,0,,,"0,0",,
2021,t11,Tổng số,400,400,,,"0,0",,
2021,t12,Tổng số,3.100,3.500,"775,0",,"0,1",,
2022,t1,Tổng số,3.100,19.727,"636,4",,,,
2022,t2,Tổng số,29.517,49.244,"149,6",,,,
2022,t3,Tổng số,41.740,90.984,"141,4",,,,
2022,t4,Tổng số,101.373,192.357,"242,9",,,,
2022,t5,Tổng số,172.948,365.305,"170,6",,,,
2022,t6,Tổng số,236.677,601.982,"136,8",,,,
2022,t7,Tổng số,352.579,954.561,"149,0",,,,
2022,t8,Tổng số,486.407,1.440.968,"138,0",,,,
2022,t9,Tổng số,431.909,1.872.877,"88,8",,,,
2022,t10,Tổng số,484.355,2.357.232,"112,1",,,,
2022,t11,Tổng số,596.919,2.954.151,"123,2","149.229,8","738.537,8",,
2022,t12,Tổng số,707.071,3.661.222,"118,5","22.808,7","104.606,3",,
2023,t1,Tổng số,707.071,871.162,"123,2","4.416,1",,,
2023,t2,Tổng số,932.969,1.804.131,"107,1","3.160,8","3.663,7",,
2023,t3,Tổng số,895.425,2.699.556,"96,0","2.145,2","2.967,1",,
2023,t4,Tổng số,984.146,3.683.702,"109,9","970,8","1.915,0",,
2023,t5,Tổng số,916.257,4.599.959,"93,1","529,8","1.259,2",,
2023,t6,Tổng số,975.010,5.574.969,"106,4","412,0","926,1",,
2023,t7,Tổng số,1.038.563,6.613.532,"106,5","294,6","692,8",,
2023,t8,Tổng số,1.217.421,7.830.953,"117,2","250,3","543,5",,
2023,t9,Tổng số,1.054.449,8.885.402,"86,6","244,1","474,4",,
2023,t10,Tổng số,1.112.526,9.997.928,"105,5","229,7","424,1",,
2023,t11,Tổng số,1.233.371,11.231.299,"110,9","206,6","380,2",,
2023,t12,Tổng số,1.371.135,12.602.434,"111,2","193,9","344,2",,
2024,t1,Tổng số,1.371.135,1.512.313,"110,3","173,6",,,
2024,t2,Tổng số,1.531.411,3.043.724,"101,3","164,1","168,7",,
2024,t3,Tổng số,1.599.074,4.642.798,"104,4","178,6","172,0",,
2024,t4,Tổng số,1.556.533,6.199.331,"97,3","158,2","168,3",,
2024,t5,Tổng số,1.383.703,7.583.034,"88,9","151,0","164,9",,
2024,t6,Tổng số,1.249.237,8.832.271,"90,3","128,1","158,4",,
2024,t7,Tổng số,1.151.432,9.983.703,"92,2","110,9","151,0",,
2024,t8,Tổng số,1.446.809,11.430.512,"125,7","118,8","146,0",,
2024,t9,Tổng số,1.274.804,12.705.316,"88,1","120,9","143,0",,
2024,t10,Tổng số,1.419.833,14.125.149,"111,4","127,6","141,3",,
2024,t11,Tổng số,1.711.512,15.836.661,"120,5","138,8","141,0",,
